name,count,is_active
Indüstria Nàvale Pesante,29,false
Pozeidon èngineerng,45,false
Zhnghai Jixie,16,false
Ble Harbor Technology,43,false
Shenzhen Haixing,8,true
míppon Kogyo Màrine 4x,34,false
Titan Heavy Equipment,22,true
SinöWavè Systems,32,false
SinoMaríne systems x5,39,false
Hokaido-Zsen,55,false
Zhonghai Jiie,58,false
zakura Shi enginering 4x,10,true
Atlantique industrie Marine,18,false
Hainan Oceanic *3,39,false
Qimgdao Haixing,9,true
Industriá Navale Pesamte,6,false
HyundaiOcean Works,2,false
Blue-Harbor Téchnology *3,7,false
Shanghai Longhua,11,true
Neptune-Marime Technology,52,false
Zhejiang Ocean Tech,39,true
Neptunö Tecmologia Marim,54,false
Tecnologia Marina Avanzada,58,true
Osaka-Kiài,17,false
Atantic Engineerimg x5,14,true
Sakura-ShipEnjineering,43,false
