name,best_match,fuzzy_matching_score,score_with_cleaned_name,score_3ch,score_5ch,total,position
Poseidon Engineering,Poseidon Engineerinj 4x,88,57,120,150,415,2
Sakura Ship Engineering,Sakura Ship Engineering,100,100,120,150,470,1
Sakura Ship Engineering,Sakura Ship Engineering,100,100,120,150,470,1
mordsee Anlagenbau-(3),Nordsee Anlagenbau,87,94,67,80,328,1
mordsee Anlagenbau-(3),Nordsée Anlagenbau,82,88,67,80,317,2
Qingdao Haixing,Qingdao Haixing,100,100,120,150,470,1
Qingdao Haixing,Qimgdao Haixing,93,93,67,80,333,2
SinoWave Systems x2,SinoWave Systems x2,100,100,120,150,470,1
SinoWave Systems x2,SinoWave Systems,91,94,120,150,455,2
Blue Harbor-Technölogy,Blue Harbor Technology,95,95,120,150,460,1
Blue Harbor-Technölogy,Kobe Ship Solutions,34,32,33,50,149,2
Sakura-Heavy Works,Sakura Heavy Works,100,100,120,150,470,1
Sakura-Heavy Works,Sakura Heavy Works,100,100,120,150,470,1
Oceanic Marine Company,Oceanic Marine Company,100,100,120,150,470,1
Oceanic Marine Company,Oceamic Mariné Company,91,62,120,0,273,2
Shanghai Longhua,Shanghai Longhua,100,100,120,150,470,1
Shanghai Longhua,Shanghai Longhua,100,100,120,150,470,1
Hyundai öcean Works x5,Hyundai Ocean Works,88,70,120,150,428,1
Hyundai öcean Works x5,Hainan Ocenic-x2,47,54,33,40,174,2
Oceamic Mríne Company,Oceamic Mríne Company,100,100,120,150,470,1
Oceamic Mríne Company,Oceamic Mariné Company,88,87,120,150,445,2
Qingdao Haíxinj,Qingdao Haixing,87,86,120,150,443,1
Qingdao Haíxinj,Qimgdao Haixing,80,79,67,80,306,2
OceanicMaie-Company,Oceanic Marine Company,93,82,120,150,445,1
OceanicMaie-Company,Oceamic Mariné Company,83,73,120,0,276,2
GüangzhouH-aiji,Guangzhou Haiji,87,93,67,80,327,1
GüangzhouH-aiji,Guangzhou Haiji-4x,79,90,67,80,316,2
Shenzhen Haíxinj,Shenzhen-Haíxing 4x,86,90,120,150,446,1
Shenzhen Haíxinj,Shenzhen Haixing,88,87,120,150,445,2
Indüstria Marina Pesada (3),Industria Marina Pesada,90,95,120,80,385,1
Indüstria Marina Pesada (3),Industria Navale Pesante,64,65,120,80,329,2
Blue Harbor Technolögy (2),Blue Harbor Technology,89,95,120,150,454,1
Blue Harbor Technolögy (2),Kobe Ship Solutions,32,32,33,50,147,2
Atlantc-Engineerimg,Atlantic Engineering,92,54,120,150,416,1
Atlantc-Engineerimg,Atlantic Engineering x5,86,52,120,150,408,2
Seoul Shp Systems,Seoul Ship Systems,97,94,120,150,461,1
Seoul Shp Systems,Seoul zhíp Systems x5,84,78,120,150,432,2
Shenzhen-Haíxing 4x,Shenzhen-Haíxing 4x,100,100,120,150,470,1
Shenzhen-Haíxing 4x,Shenzhen Haixing,86,90,120,150,446,2
Hokkaido-Zosen,Hokkaido Zosen,100,100,120,150,470,1
Hokkaido-Zosen,Hokkaido Zosen 4x,90,96,120,150,456,2
SinoWàve-Systems,SinoWàve-Systems,100,100,120,150,470,1
SinoWàve-Systems,SinoWave Systems,94,88,120,150,452,2
Nordsee Anagembau (2),Nordsee Anlagenbau,84,91,120,150,445,1
Nordsee Anagembau (2),Nordsée Anlagenbau,79,85,120,150,434,2
sinöMaríne Syztems (2),sinöMaríne Syztems (2),100,100,120,150,470,1
sinöMaríne Syztems (2),SinoMarine Systems,77,29,120,80,306,2
Marima Teknolöia Pesada,Marina Tecnologia Pesada,85,84,120,80,369,1
Marima Teknolöia Pesada,arina Teknologia-Pèsada,83,81,67,60,291,2
Maritéch Engineerin (2),Maritech Engineerimg,81,86,120,150,437,1
Maritéch Engineerin (2),Maritech Engineering,86,54,120,150,410,2
Zhejiang Okean Tech (2),Zhejiang Okean Tech (2),100,100,120,150,470,1
Zhejiang Okean Tech (2),Zhejiang Ocean Tech,88,83,120,150,441,2
Ndsee-ánlajenbau,Ndsee-ánlajenbau,100,100,120,150,470,1
Ndsee-ánlajenbau,Nordsee Anlagenbau,82,81,33,60,256,2
Pacific Heavy engíneering x2,Pacific Heavy Engineering,91,54,120,150,415,1
Pacific Heavy engíneering x2,Maritech Engineerimg,58,63,33,40,194,2
Poseidon engneering (2),Poseidon Engineerinj 4x,84,89,120,150,443,1
Poseidon engneering (2),Poseidon Engineering,90,62,120,150,422,2
Osaka-Kikai,Osaka-Kikai,100,100,120,150,470,1
Osaka-Kikai,Osaka Kikai,100,100,120,150,470,1
Kawasaki Zosem-(3),Kawasaki Zosen,84,92,120,150,446,1
Kawasaki Zosem-(3),Kàwazaki Zosen-*3,82,77,67,60,286,2
Maritech Engineerimg,Maritech Engineerimg,100,100,120,150,470,1
Maritech Engineerimg,Maritech Engineering,95,59,120,150,424,2
Nordsee Anlagenbau,Nordsee Anlagenbau,100,100,120,150,470,1
Nordsee Anlagenbau,Nordsée Anlagenbau,94,94,120,150,458,2
Industrie Marine-Lourd,Industrie Marine-Lourd,100,100,120,150,470,1
Industrie Marine-Lourd,Industrie Marine Lourd,100,100,120,150,470,1
Global Maríne-industry,Global Maríne-industry,100,100,120,150,470,1
Global Maríne-industry,Global Marine Industry,95,82,120,150,447,2
Sakura Heàvy-Wrks,Sakura Heavy Works,91,57,120,150,418,1
Sakura Heàvy-Wrks,Sakura Heavy Works,91,57,120,150,418,1
Poseídon Engineerig,Poseidon Engineerinj 4x,81,84,120,80,365,1
Poseídon Engineerig,Poseidon Engineering,92,54,120,80,346,2
Nord zea Diesel Industry,Nord Sea Diesel Industry,96,95,120,150,461,1
Nord zea Diesel Industry,Nord-Sa Díesel índustry x5,80,81,120,150,431,2
Marina Tecnolögià Pesada,Marina Tecnologia Pesada,92,91,120,150,453,1
Marina Tecnolögià Pesada,arina Teknologia-Pèsada,81,79,67,80,307,2
Sakura Heavy Works,Sakura Heavy Works,100,100,120,150,470,1
Sakura Heavy Works,Sakura Heavy Works,100,100,120,150,470,1
Yokohama-zhiptech *3,Yokohama Shiptech,86,94,120,150,450,1
Yokohama-zhiptech *3,Yokohàma Shiptéch,76,81,120,150,427,2
Nordsée Anlagenbau,Nordsée Anlagenbau,100,100,120,150,470,1
Nordsée Anlagenbau,Nordsee Anlagenbau,94,94,120,150,458,2
Oceaic Marine Company x5,Oceamic Mariné Company,87,76,120,80,363,1
Oceaic Marine Company x5,Oceamic Mríne Company,84,79,120,80,363,1
Tianjin Gongchej,Tianjin Gongchej,100,100,120,150,470,1
Tianjin Gongchej,Tianjin Gongcheng,91,90,120,150,451,2
Yokoama-Shiptéch,Yokohàma Shiptéch,91,90,120,80,381,1
Yokoama-Shiptéch,Yokohama Shiptech,91,90,120,80,381,1
Nord-Sa Díesel índustry x5,Nord-Sa Díesel índustry x5,100,100,120,150,470,1
Nord-Sa Díesel índustry x5,Nord Sea Diesel Industry,84,86,120,150,440,2
SinoMarine Systems,SinoMarine Systems,100,100,120,150,470,1
SinoMarine Systems,SinoWave Systems,82,67,120,80,349,2
Neptune Marine-Techology,Neptune Marine Technology,98,97,120,150,465,1
Neptune Marine-Techology,Neptuno Tecnologia Marina,57,67,120,150,394,2
Tianjin Gonjcheng,Tianjin Gongcheng,94,94,120,150,458,1
Tianjin Gonjcheng,Tianjin Gongchej,85,84,120,150,439,2
Poseidon Engineerinj 4x,Poseidon Engineerinj 4x,100,100,120,150,470,1
Poseidon Engineerinj 4x,Poseidon Engineering,88,57,120,150,415,2
Hokkaido Zosen,Hokkaido Zosen,100,100,120,150,470,1
Hokkaido Zosen,Hokkaido Zosen 4x,90,96,120,150,456,2
guangzhou-Haiji,Guangzhou Haiji,100,100,120,150,470,1
guangzhou-Haiji,Guangzhou Haiji-4x,91,97,120,150,458,2
Tianjin Gomgcheng x2,Tianjin Gongcheng,86,91,120,150,447,1
Tianjin Gomgcheng x2,Tianjin Gongchej,78,81,120,150,429,2
Fujian Haigong-4x,Fujian Haigong-4x,100,100,120,150,470,1
Fujian Haigong-4x,Fujian Haigong,90,96,120,150,456,2
Nord zea Disel índustry x2,Nord-Sa Díesel índustry x5,85,86,120,150,441,1
Nord zea Disel índustry x2,Nord Sea Diesel Industry,84,86,120,150,440,2
Tiànjín-Gongkheng,Tianjin Gongcheng,82,81,67,80,310,1
Tiànjín-Gongkheng,Tianjin Gongchej,73,71,67,80,291,2
Maritech Engineering,Maritech Engineering,100,100,120,150,470,1
Maritech Engineering,Maritech Engineering-x5,93,94,120,150,457,2
Sakura Heavy Works,Sakura Heavy Works,100,100,120,150,470,1
Sakura Heavy Works,Sakura Heavy Works,100,100,120,150,470,1
Neptuno Técnologia Marina x2,Neptuno Tecnologia Marina,91,94,120,150,455,1
Neptuno Técnologia Marina x2,Neptune Marine Technology,53,63,120,150,386,2
Blue Harbor Tecnoloy x5,Blue Harbor Technology,89,92,120,150,451,1
Blue Harbor Tecnoloy x5,Kobe Ship Solutions,38,33,33,50,154,2
Marina Tecnologia Pesada,Marina Tecnologia Pesada,100,100,120,150,470,1
Marina Tecnologia Pesada,arina Teknologia-Pèsada,89,88,67,80,324,2
Seoul-Ship Systemz,Seoul Ship Systems,94,72,120,150,436,1
Seoul-Ship Systemz,Seoul zhíp Systems x5,77,54,120,150,401,2
Guangzhou Haiji,Guangzhou Haiji,100,100,120,150,470,1
Guangzhou Haiji,Guangzhou Haiji-4x,91,97,120,150,458,2
Yokohàma Shiptéch,Yokohàma Shiptéch,100,100,120,150,470,1
Yokohàma Shiptéch,Yokohama Shiptech,88,88,120,150,446,2
Atlantic Engineering x5,Atlantic Engineering x5,100,100,120,150,470,1
Atlantic Engineering x5,Atlantic Engineering,93,94,120,150,457,2
Shenzhen-Haixíng,Shenzhen Haixing,94,93,120,150,457,1
Shenzhen-Haixíng,Shenzhen-Haíxing 4x,80,84,120,150,434,2
Nord SeaDiesel Imdustry-(3),Nord Sea Diesel Industry,88,95,120,150,453,1
Nord SeaDiesel Imdustry-(3),Nord-Sa Díesel índustry x5,77,81,120,150,428,2
Fujian-Hàijong,Fujian Haigong,86,85,120,150,441,1
Fujian-Hàijong,Fujian Haigong-4x,77,81,120,150,428,2
Kawasaki-Zosen (2),Kawasaki Zosen,90,100,120,150,460,1
Kawasaki-Zosen (2),Kàwazaki Zosen-*3,82,85,67,60,294,2
Industria Marina Pèsada,Industria Marina Pesada,96,95,120,150,461,1
Industria Marina Pèsada,Industria Navale Pesante,68,65,120,150,403,2
Zhonjhai Jixie x5,Zhonghai Jixie,84,89,120,80,373,1
Zhonjhai Jixie x5,Zhomghái Jixie,71,74,120,60,325,2
Titan Heavy-equipment,Titan Heavy-equipment,100,100,120,150,470,1
Titan Heavy-equipment,Titan Heavy Equipment,100,100,120,150,470,1
Maritech Engineering-x5,Maritech Engineering-x5,100,100,120,150,470,1
Maritech Engineering-x5,Maritech Engineering,93,94,120,150,457,2
Shanghai Longhuá,Shanghai Longhua,94,93,120,150,457,1
Shanghai Longhuá,Shanghai Longhua,94,93,120,150,457,1
Shànghai Lönghüa x2,Shànghai Longhua *3,79,84,120,150,433,1
Shànghai Lönghüa x2,Shanghai Longhua,74,77,67,80,298,2
Zhejiang-Ocean Tech,Zhejiang Ocean Tech,100,100,120,150,470,1
Zhejiang-Ocean Tech,Zhejiang Okean Tech (2),88,83,120,150,441,2
Zejiang Ocean-Tech 4x,Zejiang Ocean-Tech 4x,100,100,120,150,470,1
Zejiang Ocean-Tech 4x,Zhejiang Ocean Tech,90,92,67,80,329,2
arina Teknologia-Pèsada,arina Teknologia-Pèsada,100,100,120,150,470,1
arina Teknologia-Pèsada,Marina Tecnologia Pesada,89,88,67,80,324,2
Hokkaido Zosen,Hokkaido Zosen,100,100,120,150,470,1
Hokkaido Zosen,Hokkaido Zosen 4x,90,96,120,150,456,2
Haiman Okeanic x2,Haiman Okeanic x2,100,100,120,150,470,1
Haiman Okeanic x2,Hainan Ocenic-x2,85,81,120,80,366,2
Fujían Haigng,Fujian Haigong,89,88,120,80,377,1
Fujían Haigng,Fujian Haigong-4x,80,85,120,80,365,2
Shenzhen-Haixinj,Shenzhen Haixing,94,93,120,150,457,1
Shenzhen-Haixinj,Shenzhen-Haíxing 4x,80,84,120,150,434,2
Pácífic Heavy-Engneering,Pacific Heavy Engineering,90,42,67,60,259,1
Pácífic Heavy-Engneering,Poseidon Engineerinj 4x,51,59,33,20,163,2
Titn Heàvy Equípment,Titn Heàvy Equípment,100,100,120,150,470,1
Titn Heàvy Equípment,Titan Heavy-equipment,88,75,120,89,372,2
Kawasaki Zosen,Kawasaki Zosen,100,100,120,150,470,1
Kawasaki Zosen,Kàwazaki Zosen-*3,77,85,67,60,289,2
Kob Ship Solutions,Kob Ship Solutions,100,100,120,150,470,1
Kob Ship Solutions,Kobe Ship Solutions,97,97,120,75,389,2
Oceamic Mariné Company,Oceamic Mariné Company,100,100,120,150,470,1
Oceamic Mariné Company,Oceamic Mríne Company,88,87,120,150,445,2
Hyundai Ocean Works x2,Hyundai Ocean Works,93,93,120,150,456,1
Hyundai Ocean Works x2,Hainan Ocenic-x2,58,48,33,40,179,2
Zhomghái Jixie,Zhomghái Jixie,100,100,120,150,470,1
Zhomghái Jixie,Zhonghai Jixie,86,85,120,80,371,2
Tcnologia Marimá Avànzada,Tcnologia Marimá Avànzada,100,100,120,150,470,1
Tcnologia Marimá Avànzada,Tecnologia Marina Avanzada,86,85,67,80,318,2
Neptune Márine Technology,Neptune Marine Technology,96,85,120,150,451,1
Neptune Márine Technology,Neptuno Tecnologia Marina,60,61,120,150,391,2
Zhejiànj Ocean Tech (2),Zhejiang Ocean Tech,83,83,120,150,436,1
Zhejiànj Ocean Tech (2),Zhejiang Okean Tech (2),86,69,120,150,425,2
Guangzhou Haiji,Guangzhou Haiji,100,100,120,150,470,1
Guangzhou Haiji,Guangzhou Haiji-4x,91,97,120,150,458,2
Nordsee Anlagenbau,Nordsee Anlagenbau,100,100,120,150,470,1
Nordsee Anlagenbau,Nordsée Anlagenbau,94,94,120,150,458,2
Sàkura Ship enjineering,Sakura Ship Engineerinj,87,86,67,80,320,1
Sàkura Ship enjineering,Sakura Ship Engineering,91,58,67,80,296,2
Mritec-Engineering,Mritec-Engineering,100,100,120,150,470,1
Mritec-Engineering,Maritech Engineering,95,86,67,80,328,2
Kobe Ship solutions,Kobe Ship Solutions,100,100,120,150,470,1
Kobe Ship solutions,Kob Ship Solutions,97,97,120,75,389,2
Neptume Marine Tecnolögy x2,Neptune Marine Technology,85,82,120,150,437,1
Neptume Marine Tecnolögy x2,Neptuno Tecnologia Marina,58,60,120,150,388,2
Titan Heavy Equipent,Titan Heavy-equipment,98,96,120,150,464,1
Titan Heavy Equipent,Titan Heavy Equipment,98,96,120,150,464,1
Atlantiqüe Idutríe Mariné (3),Atlantiqüe Idutríe Mariné (3),100,100,120,150,470,1
Atlantiqüe Idutríe Mariné (3),Atlantiqüe Industrie Márine (2),83,83,120,150,436,2
Neptumo Tecnoogia Marina *3,Neptuno Tecnologia Marina,88,93,120,150,451,1
Neptumo Tecnoogia Marina *3,Neptune Marine Technology,54,62,120,150,386,2
Hyundai Ocean Works,Hyundai Ocean Works,100,100,120,150,470,1
Hyundai Ocean Works,Hainan Oceanic,55,53,33,40,181,2
Atlantique Industrie Marine,Atlantique Industrie Marine,100,100,120,150,470,1
Atlantique Industrie Marine,Atlantique nduztrie Marine,94,92,120,150,456,2
Shemzhèn Háixing (3),Shenzhen Haixing,74,80,120,80,354,1
Shemzhèn Háixing (3),Shenzhen-Haíxing 4x,68,71,120,80,339,2
FujíánHaigöng,Fujian Haigong,74,77,120,60,331,1
FujíánHaigöng,Fujian Haigong-4x,67,74,120,60,321,2
Tianjin Gongcheng,Tianjin Gongcheng,100,100,120,150,470,1
Tianjin Gongcheng,Tianjin Gongchej,91,90,120,150,451,2
Osaka Kikai,Osaka-Kikai,100,100,120,150,470,1
Osaka Kikai,Osaka Kikai,100,100,120,150,470,1
Atlantic Emgimèerinj,Atlantic Engineering,80,59,120,150,409,1
Atlantic Emgimèerinj,Atlantic Engineering x5,74,57,120,150,401,2
QíngdaoHaixing,Qingdao Haixing,90,93,67,80,330,1
QíngdaoHaixing,Qimgdao Haixing,83,86,33,60,262,2
Kbe Ship Solutions,Kobe Ship Solutions,97,97,67,75,336,1
Kbe Ship Solutions,Kob Ship Solutions,94,94,67,75,330,2
Hainan Oceanic,Hainan Oceanic,100,100,120,150,470,1
Hainan Oceanic,Hainan Ocenic-x2,87,76,120,150,433,2
Tecnología Marina Avànzada *3,Tecnologia Marina Avanzada,87,92,120,150,449,1
Tecnología Marina Avànzada *3,Tcnologia Marimá Avànzada,81,85,67,80,313,2
Zhonghai Jixie,Zhonghai Jixie,100,100,120,150,470,1
Zhonghai Jixie,Zhomghái Jixie,86,85,120,80,371,2
Sakura Heavy Works,Sakura Heavy Works,100,100,120,150,470,1
Sakura Heavy Works,Sakura Heavy Works,100,100,120,150,470,1
Neptune Marine Technology,Neptune Marine Technology,100,100,120,150,470,1
Neptune Marine Technology,Neptuno Tecnologia Marina,60,70,120,150,400,2
industriè Marine Lourd *3,Industrie Marine-Lourd,89,93,120,150,452,1
industriè Marine Lourd *3,Industrie Marine Lourd,89,93,120,150,452,1
Sakura Ship Engineerinj,Sakura Ship Engineerinj,100,100,120,150,470,1
Sakura Ship Engineerinj,Sakura Ship Engineering,96,65,120,150,431,2
Neptune-Marine Technology,Neptune Marine Technology,100,100,120,150,470,1
Neptune-Marine Technology,Neptuno Tecnologia Marina,60,70,120,150,400,2
Seoul Ship Systems,Seoul Ship Systems,100,100,120,150,470,1
Seoul Ship Systems,Seoul zhíp Systems x5,82,74,120,150,426,2
Kawásaki Zosen 4x,Kawasaki Zosen,84,89,120,80,373,1
Kawásaki Zosen 4x,Kàwazaki Zosen-*3,71,74,67,40,252,2
Industria Mariná Pezàà,Industria Marina Pesada,80,78,120,150,428,1
Industria Mariná Pezàà,Industria Nvale Pesnte,64,60,120,150,394,2
Blue Harbor Technology,Blue Harbor Technology,100,100,120,150,470,1
Blue Harbor Technology,Neptune Marine Technology,68,65,0,22,155,2
Nord Sea Diesel Industry,Nord Sea Diesel Industry,100,100,120,150,470,1
Nord Sea Diesel Industry,Nord-Sa Díesel índustry x5,84,86,120,150,440,2
Tianjim Gongchéng-(3),Tianjin Gongcheng,81,88,120,150,439,1
Tianjim Gongchéng-(3),Tianjin Gongchej,72,77,120,150,419,2
Yokohama Shiptech,Yokohama Shiptech,100,100,120,150,470,1
Yokohama Shiptech,Yokohàma Shiptéch,88,88,120,150,446,2
Global Marine-Induztry x5,Global Marine Industry,89,90,120,150,449,1
Global Marine-Induztry x5,Global Maríne-industry,85,74,120,150,429,2
NipponKogyo-Maríme,NipponKogyo-Maríme,100,100,120,150,470,1
NipponKogyo-Maríme,Nippon Kogyo Marine,86,79,120,150,435,2
Qingdao ixinj,Qingdao Haixing,86,85,120,150,441,1
Qingdao ixinj,Qimgdao Haixing,79,77,67,80,303,2
Hyundàí Ocean-Works,Hyundai Ocean Works,89,71,120,150,430,1
Hyundàí Ocean-Works,Hainan Oceanic,48,27,33,40,148,2
SinoMarine Systems,SinoMarine Systems,100,100,120,150,470,1
SinoMarine Systems,SinoWave Systems,82,67,120,80,349,2
neptuno Técnolögiá Marina,Neptuno Tecnologia Marina,88,87,120,150,445,1
neptuno Técnolögiá Marina,Neptune Marine Technology,52,60,120,150,382,2
SimoWave Systems,SinoWave Systems,94,88,67,80,329,1
SimoWave Systems,SinoWave Systems x2,86,82,67,80,315,2
Industria Navale Pesante,Industria Navale Pesante,100,100,120,150,470,1
Industria Navale Pesante,Industria Nvale Pesnte,96,95,120,150,461,2
Industria arina Pezada (3),Industria Marina Pesada,88,93,120,150,451,1
Industria arina Pezada (3),Industria Navale Pesante,65,67,120,150,402,2
Hokkaido Zosen 4x,Hokkaido Zosen 4x,100,100,120,150,470,1
Hokkaido Zosen 4x,Hokkaido Zosen,90,96,120,150,456,2
Fujian Haigong,Fujian Haigong,100,100,120,150,470,1
Fujian Haigong,Fujian Haigong-4x,90,96,120,150,456,2
Kobe Ship Solutions,Kobe Ship Solutions,100,100,120,150,470,1
Kobe Ship Solutions,Kob Ship Solutions,97,97,120,75,389,2
Industrie Marine Lourd,Industrie Marine-Lourd,100,100,120,150,470,1
Industrie Marine Lourd,Industrie Marine Lourd,100,100,120,150,470,1
Neptuno Tecnologia Marina,Neptuno Tecnologia Marina,100,100,120,150,470,1
Neptuno Tecnologia Marina,Neptune Marine Technology,60,70,120,150,400,2
Sakura Heavy Works,Sakura Heavy Works,100,100,120,150,470,1
Sakura Heavy Works,Sakura Heavy Works,100,100,120,150,470,1
Poseion énjinèèring,Poseidon Engineerinj 4x,67,68,120,150,405,1
Poseion énjinèèring,Poseidon Engineering,77,54,120,150,401,2
SínoMarin-eSystmz,SínoMarin-eSystmz,100,100,120,150,470,1
SínoMarin-eSystmz,SinoMarine Systems,80,43,67,80,270,2
Tecnoojia Marina Avanzadà (2),Tecnologia Marina Avanzada,85,89,120,150,444,1
Tecnoojia Marina Avanzadà (2),Tcnologia Marimá Avànzada,72,74,67,80,293,2
Atlantique nduztrie Marine,Atlantique nduztrie Marine,100,100,120,150,470,1
Atlantique nduztrie Marine,Atlantique Industrie Marine,94,92,120,150,456,2
Osaka Kikai,Osaka-Kikai,100,100,120,150,470,1
Osaka Kikai,Osaka Kikai,100,100,120,150,470,1
Marina-Tenoogia Pesadà,Marina Tecnologia Pesada,91,90,120,150,451,1
Marina-Tenoogia Pesadà,arina Teknologia-Pèsada,84,83,67,80,314,2
Guángzhou Haiji,Guangzhou Haiji,93,93,67,80,333,1
Guángzhou Haiji,Guangzhou Haiji-4x,85,90,67,80,322,2
Hainan Oceanic,Hainan Oceanic,100,100,120,150,470,1
Hainan Oceanic,Hainan Ocenic-x2,87,76,120,150,433,2
Atlamtiu IndustrieMarine,Atlantique Industrie Marine,90,89,120,80,379,1
Atlamtiu IndustrieMarine,Atlantique nduztrie Marine,84,80,120,80,364,2
Marina Tecnologia Pesada,Marina Tecnologia Pesada,100,100,120,150,470,1
Marina Tecnologia Pesada,arina Teknologia-Pèsada,89,88,67,80,324,2
Nippon Kogyo-Marínè,NipponKogyo-Maríme,86,88,120,150,444,1
Nippon Kogyo-Marínè,Nippon Kogyo Marine,89,79,120,150,438,2
Pcific Heav Enjineering (3),Pacific Heavy Engineering,86,43,67,80,276,1
Pcific Heav Enjineering (3),Poseidon Engineerinj 4x,53,54,33,40,180,2
Global Márine Industry,Global Maríne-industry,91,90,120,150,451,1
Global Márine Industry,Global Marine Industry,95,82,120,150,447,2
Global-Marine Industry,Global Marine Industry,100,100,120,150,470,1
Global-Marine Industry,Global Maríne-industry,95,82,120,150,447,2
Industrie Márine Lourd 4x,Industrie Marine-Lourd,89,80,120,150,439,1
Industrie Márine Lourd 4x,Industrie Marine Lourd,89,80,120,150,439,1
Guangzhou Haiji-4x,Guangzhou Haiji-4x,100,100,120,150,470,1
Guangzhou Haiji-4x,Guangzhou Haiji,91,97,120,150,458,2
Atlantiqüe Industrie Márine (2),Atlantiqüe Industrie Márine (2),100,100,120,150,470,1
Atlantiqüe Industrie Márine (2),Atlantique Industrie Marine,88,82,120,150,440,2
Atlantic Engineering,Atlantic Engineering,100,100,120,150,470,1
Atlantic Engineering,Atlantic Engineering x5,93,94,120,150,457,2
Titan Héavy Equipment,Titan Heavy-equipment,95,85,120,150,450,1
Titan Héavy Equipment,Titan Heavy Equipment,95,85,120,150,450,1
Indutia Navale Pesante,Industria Navale Pesante,96,95,120,80,391,1
Indutia Navale Pesante,Industria Nvale Pesnte,91,90,120,80,381,2
Níppon Kogyo-Marine (2),Níppon Kogyo-Marine (2),100,100,120,150,470,1
Níppon Kogyo-Marine (2),Nippon Kogyo Marine,88,91,67,80,326,2
Global Marine Industry,Global Marine Industry,100,100,120,150,470,1
Global Marine Industry,Global Maríne-industry,95,82,120,150,447,2
Tecnología Marina Avànzada (3),Tecnologia Marina Avanzada,87,92,120,150,449,1
Tecnología Marina Avànzada (3),Tcnologia Marimá Avànzada,81,85,67,80,313,2
Yoohama shiptech,Yokohama Shiptech,97,97,67,80,341,1
Yoohama shiptech,Yokohàma Shiptéch,85,84,67,80,316,2
Nippon Kogyo Marine,Nippon Kogyo Marine,100,100,120,150,470,1
Nippon Kogyo Marine,NipponKogyo-Maríme,86,79,120,150,435,2
zinoMarine Systemz,SinoMarine Systems,89,40,67,80,276,1
